,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
74,"APPLE iPhone XS Max (Space Grey, 256 GB)","₹1,24,900",Same Price,4.6,"1,454 Ratings & 149 Reviews",No offer,256 GB ROM16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 Year Limited Warranty for Products and Accessories
75,"APPLE iPhone 6s Plus (Rose Gold, 32 GB)","₹34,900",Same Price,4.4,"18,848 Ratings & 2,392 Reviews",No offer,32 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
76,"APPLE iPhone 13 Pro Max (Sierra Blue, 128 GB)","₹1,29,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
77,"APPLE iPhone 13 Pro (Silver, 256 GB)","₹1,29,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
78,"APPLE iPhone 13 Pro (Sierra Blue, 256 GB)","₹1,29,900",Same Price,4.7,448 Ratings & 42 Reviews,No offer,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
79,"APPLE iPhone 6 (Space Grey, 16 GB)","₹52,000",Same Price,4.4,"1,45,616 Ratings & 16,341 Reviews",No offer,16 GB ROM11.94 cm (4.7 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraApple A8 64-bit processor and M8 Motion Co-processor1 Year Manufacturer Warranty
80,"APPLE iPhone 13 (Pink, 256 GB)","₹84,900","₹89,900",4.7,"1,920 Ratings & 204 Reviews",5% off,256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
81,"APPLE iPhone 12 Pro (Silver, 128 GB)","₹1,04,900","₹1,09,900",4.6,"1,054 Ratings & 70 Reviews",4% off,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic Shield | Industry-leading IP68 Water ResistanceAll Screen OLED DisplayLiDAR Scanner for Improved AR Experiences, Night Mode PortraitsBrand Warranty for 1 Year"
82,"APPLE iPhone 13 Pro Max (Graphite, 128 GB)","₹1,29,900",Same Price,4.7,652 Ratings & 69 Reviews,No offer,128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
83,"APPLE iPhone XS (Gold, 512 GB)","₹1,34,900",Same Price,4.7,"11,960 Ratings & 874 Reviews",No offer,512 GB ROM14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories
